Continente,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Maternal mortality ratio,Out of pocket health expenditure,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population
América do Norte,282182.95454545453,0.027095238095238092,2.058181818181818,1133863517564.3635,1.0480909090909092,0.40354545454545454,14.818181818181818,75.17272727272727,75.9,0.349,0.181,0.41028571428571425,0.08139444444444445,20922693.181818184
América do Sul,95827.33333333333,0.2976666666666667,2.200833333333333,321294809108.3333,1.0550833333333334,0.5471818181818182,14.341666666666667,74.93333333333332,88.08333333333333,0.28833333333333333,0.15311111111111111,0.5334166666666667,0.07580833333333332,29998068.0
Europa,137242.53846153847,0.02155263157894737,1.5105,504880916446.1667,1.0158717948717948,0.6705384615384615,3.7825,79.27179487179487,7.8108108108108105,0.2551219512195122,0.20591891891891892,0.3896923076923077,0.06687027027027027,13474364.31707317
Oceania,32396.076923076922,0.021636363636363638,3.19,116788555752.28572,1.0302307692307693,0.3242,20.4,71.125,64.5,0.09884615384615383,0.226,0.39516666666666667,0.0379375,2171335.846153846
África,26971.960784313724,0.09444897959183673,4.178823529411765,46932804145.71154,1.0156470588235293,0.13269999999999998,43.778431372549015,63.76470588235294,414.4901960784314,0.36941176470588233,0.14753333333333335,0.47758,0.078614,10984290.823529411
Ásia,410401.76086956525,0.04644186046511627,2.3191304347826085,818079080440.1305,1.0237173913043478,0.3756521739130435,16.75,74.10652173913044,74.76086956521739,0.42515555555555556,0.12861904761904763,0.32370454545454547,0.05682826086956522,49374841.0
